Latitude: 71.3225  Longitude: -156.6231
X & Y on Lambert Conformal Conic: -2090640.99 3946572.76
Tile: 14412
Elevation: 0 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2011,1,0.00,0.00,0.00,16.06,-27.47,-30.68,47.23
2011,2,0.00,2.59,0.00,18.66,-17.17,-27.50,63.76
2011,3,0.00,0.00,0.00,18.66,-14.47,-18.78,138.69
2011,4,0.00,0.00,0.00,18.66,-11.39,-18.82,138.27
2011,5,0.00,0.00,0.00,18.66,-10.78,-16.38,170.00
2011,6,0.00,0.81,0.00,19.47,-10.06,-17.57,153.72
2011,7,0.00,0.00,0.00,19.47,-12.79,-28.38,58.70
2011,8,0.00,0.00,0.00,19.47,-11.09,-24.63,82.90
2011,9,0.00,0.00,0.00,19.47,0.47,-11.17,260.38
2011,10,0.00,0.00,0.00,19.47,-1.76,-17.48,155.01
2011,11,0.00,0.00,0.00,19.47,-12.85,-19.36,131.95
2011,12,0.00,0.00,0.00,19.47,-17.93,-22.27,102.39
2011,13,0.00,0.00,0.00,19.47,-20.06,-22.62,99.27
2011,14,0.00,0.00,0.00,19.47,-20.37,-24.96,80.44
2011,15,0.00,0.00,0.00,19.47,-13.90,-26.55,69.62
2011,16,0.00,0.00,0.00,19.47,-11.50,-29.53,52.68
2011,17,0.00,0.00,0.00,19.47,-12.79,-28.75,56.74
2011,18,0.00,0.00,0.00,19.47,-24.47,-26.35,70.89
2011,19,0.00,0.00,0.00,19.47,-25.29,-32.31,40.36
2011,20,0.00,0.00,0.00,19.47,-29.95,-35.95,28.14
2011,21,0.00,0.00,0.00,19.47,-30.52,-35.34,29.93
2011,22,0.00,0.00,0.00,19.47,-32.51,-40.88,16.91
2011,23,0.00,0.00,0.00,19.47,-35.75,-41.13,16.47
2011,24,0.00,0.00,0.00,19.47,-35.45,-40.90,16.89
2011,25,0.00,0.00,0.00,19.47,-29.84,-37.64,23.70
2011,26,0.00,0.00,0.00,19.47,-29.23,-36.59,26.39
2011,27,0.00,0.00,0.00,19.47,-26.07,-32.93,37.99
2011,28,3645.36,0.00,0.02,19.47,-21.39,-29.24,54.14
2011,29,5919.83,0.00,0.04,19.47,-15.24,-21.79,106.81
2011,30,7570.73,0.00,0.06,19.47,-9.17,-17.80,150.84
2011,31,8949.91,0.00,0.08,19.47,-8.65,-17.88,149.83
2011,32,10168.45,0.00,0.22,19.47,-12.88,-21.57,108.93
2011,33,11278.43,0.00,0.19,19.47,-9.92,-16.56,167.47
2011,34,12309.17,0.00,0.55,19.47,-11.47,-27.27,65.10
2011,35,13279.07,0.00,0.72,19.47,-13.53,-27.16,65.75
2011,36,14200.54,0.00,1.63,19.47,-6.75,-24.50,83.90
2011,37,15082.39,0.00,1.74,19.47,-20.48,-29.83,51.19
2011,38,15931.17,0.00,2.16,19.47,-20.78,-30.47,48.18
2011,39,16751.85,0.30,3.24,19.77,-14.00,-23.37,92.86
2011,40,17548.34,0.00,2.35,19.77,-16.81,-21.29,111.57
2011,41,18323.76,0.43,3.25,20.20,-19.70,-24.91,80.87
2011,42,19080.65,0.00,3.00,20.20,-22.11,-25.56,76.18
