Latitude: 68.251  Longitude: -149.092
X & Y on Lambert Conformal Conic: -2056575.6 3456818.31
Tile: 14236
Elevation: 1588 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2011,1,0.00,3.03,0.00,97.00,-16.32,-25.92,73.74
2011,2,0.00,3.33,0.00,100.33,-3.73,-15.40,184.45
2011,3,0.00,0.00,0.00,100.33,-2.87,-8.43,323.49
2011,4,0.00,0.00,0.00,100.33,-2.76,-11.00,264.09
2011,5,0.00,0.00,0.00,100.33,-5.74,-11.14,261.19
2011,6,0.00,0.00,0.00,100.33,-6.51,-14.54,198.13
2011,7,0.00,0.00,0.00,100.33,-10.85,-19.46,130.86
2011,8,0.00,0.00,0.00,100.33,-7.47,-17.09,160.13
2011,9,0.00,2.76,0.00,103.08,-1.30,-10.52,274.38
2011,10,0.00,0.00,0.00,103.08,-1.65,-13.36,218.20
2011,11,0.00,0.00,0.00,103.08,-8.64,-14.51,198.66
2011,12,0.00,0.00,0.00,103.08,-10.71,-17.94,149.02
2011,13,3283.08,0.00,0.04,103.08,-13.98,-20.47,119.87
2011,14,4806.52,0.00,0.11,103.08,-13.08,-21.24,112.13
2011,15,5993.44,0.00,0.18,103.08,-12.44,-21.48,109.74
2011,16,7016.55,0.00,0.20,103.08,-14.98,-21.46,109.98
2011,17,7939.26,0.00,0.46,103.08,-16.42,-33.92,34.48
2011,18,8793.08,0.00,0.36,103.08,-24.31,-30.40,48.50
2011,19,9596.27,0.00,0.69,103.08,-22.43,-31.52,43.57
2011,20,10360.47,0.00,0.49,103.08,-28.16,-32.68,38.95
2011,21,11093.62,0.00,0.96,103.08,-27.28,-35.71,28.84
2011,22,11801.38,0.00,0.78,103.08,-31.95,-37.16,24.90
2011,23,12487.97,0.00,1.48,103.08,-28.46,-36.80,25.84
2011,24,13156.57,0.00,2.48,103.08,-22.99,-32.96,37.88
2011,25,13809.71,0.00,3.16,103.08,-16.05,-27.24,65.31
2011,26,14449.39,0.00,2.98,103.08,-14.65,-22.21,102.93
2011,27,15077.21,0.00,2.73,103.08,-13.83,-19.86,126.45
2011,28,15694.52,0.00,4.59,103.08,-10.41,-17.82,150.52
2011,29,16302.43,0.00,4.08,103.08,-8.18,-13.35,218.38
2011,30,16901.87,0.00,6.09,103.08,-6.44,-13.81,210.43
2011,31,17493.63,0.00,6.38,103.08,-7.16,-13.86,209.51
2011,32,18078.39,0.00,9.29,103.08,-6.84,-14.58,197.45
2011,33,18656.74,0.00,9.28,103.08,-9.64,-15.88,177.22
2011,34,19229.21,0.00,11.45,103.08,-9.70,-16.74,164.91
2011,35,19796.22,0.00,13.50,103.08,-10.04,-17.43,155.57
2011,36,20358.19,0.00,14.53,103.08,-9.74,-16.21,172.39
2011,37,20915.46,0.00,20.89,103.08,-11.33,-21.17,112.82
2011,38,21468.35,0.00,21.79,103.08,-12.37,-21.42,110.38
2011,39,22017.13,2.61,17.23,105.69,-8.58,-16.47,168.71
2011,40,22562.07,3.88,25.18,109.57,-8.75,-25.84,74.30
2011,41,23103.39,0.00,11.46,109.57,-27.32,-30.09,49.98
2011,42,23641.31,0.00,15.16,109.57,-26.90,-30.17,49.57
2011,43,24176.00,0.00,31.17,109.57,-26.52,-33.38,36.36
2011,44,24707.66,0.00,38.97,109.57,-24.19,-32.84,38.34
2011,45,25236.44,0.00,42.88,109.57,-20.85,-29.69,51.92
2011,46,25762.49,0.00,41.26,109.57,-20.91,-28.28,59.27
2011,47,26285.95,0.00,47.82,109.57,-17.30,-25.48,76.74
2011,48,26806.95,3.47,39.29,113.04,-15.67,-24.21,86.07
2011,49,27325.62,3.26,36.41,116.30,-16.92,-23.67,90.38
2011,50,27842.06,0.00,15.38,116.30,-21.49,-23.11,95.03
2011,51,28356.39,0.00,34.40,116.30,-20.61,-24.35,85.03
2011,52,28868.71,0.00,68.80,116.30,-20.00,-28.40,58.60
2011,53,29379.12,0.00,85.43,116.30,-15.38,-28.09,60.31
2011,54,29887.71,7.41,50.17,123.71,-13.89,-20.87,115.77
2011,55,30394.56,5.66,45.41,129.37,-8.28,-13.92,208.39
2011,56,30899.77,4.35,79.12,133.72,-9.93,-29.76,51.56
2011,57,31403.41,0.00,40.49,133.72,-24.08,-27.28,65.04
2011,58,31905.56,9.09,73.11,142.82,-17.15,-26.22,71.72
2011,59,32406.30,0.00,88.15,142.82,-13.82,-20.94,115.09
2011,60,32905.71,4.20,74.14,147.02,-12.92,-20.96,114.92
2011,61,33403.85,0.00,107.54,147.02,-12.65,-21.15,113.01
2011,62,33900.80,0.00,114.32,147.02,-13.54,-22.33,101.86
2011,63,34396.61,0.00,120.81,147.02,-12.05,-21.21,112.38
2011,64,34891.37,0.00,133.32,147.02,-8.68,-19.24,133.40
2011,65,35385.13,0.00,143.29,147.02,-3.90,-15.54,182.38
2011,66,35877.96,0.00,128.53,147.02,-8.45,-17.20,158.70
2011,67,36369.92,0.00,128.21,147.02,-10.23,-18.41,143.15
2011,68,36861.08,0.00,143.31,147.02,-10.23,-19.53,130.07
2011,69,37351.48,0.00,141.42,147.02,-9.32,-18.00,148.33
2011,70,37841.20,0.00,175.02,147.02,-8.38,-20.80,116.48
2011,71,38330.30,0.00,160.41,147.02,-12.88,-22.47,100.55
2011,72,38818.82,0.00,170.91,147.02,-12.01,-22.47,100.62
2011,73,39306.84,0.00,154.00,147.02,-12.80,-21.13,113.15
2011,74,39794.40,0.00,191.77,147.02,-10.97,-23.09,95.17
2011,75,40281.57,0.00,127.19,147.02,-18.36,-24.37,84.84
2011,76,40768.40,0.00,199.16,147.02,-12.52,-24.13,86.72
2011,77,41254.95,0.00,187.85,147.02,-9.91,-19.79,127.21
2011,78,41741.28,0.00,194.92,147.02,-7.63,-17.78,151.04
2011,79,42227.43,0.00,161.35,147.02,-8.35,-15.71,179.78
2011,80,42713.48,0.00,192.01,147.02,-5.81,-15.18,187.83
2011,81,43199.47,0.00,138.47,147.02,-8.22,-14.16,204.48
2011,82,43685.46,0.00,116.62,147.02,-8.51,-13.26,220.10
2011,83,44171.50,0.00,124.30,147.02,-6.93,-11.79,247.86
2011,84,44657.66,0.00,133.03,147.02,-7.44,-12.52,233.72
2011,85,45143.98,0.00,219.29,147.02,-5.24,-14.74,194.80
2011,86,45630.53,0.00,208.34,147.02,-6.82,-15.00,190.75
2011,87,46117.36,0.00,143.19,147.02,-9.78,-14.81,193.77
2011,88,46604.53,2.41,167.45,149.42,-6.58,-15.28,186.28
2011,89,47092.10,0.00,290.04,149.42,-5.47,-21.05,113.96
2011,90,47580.11,0.00,159.09,149.42,-15.27,-20.63,118.25
2011,91,48068.63,0.00,210.36,149.42,-14.27,-21.58,108.78
2011,92,48557.73,0.00,199.75,149.42,-13.35,-20.00,124.88
2011,93,49047.45,0.00,295.28,149.42,-6.69,-19.46,125.27
2011,94,49537.85,2.76,196.29,152.19,-8.23,-17.85,150.17
2011,95,50029.00,0.00,294.05,152.19,-14.18,-25.57,76.10
2011,96,50520.96,0.00,251.37,152.19,-17.84,-26.16,72.13
2011,97,51013.79,0.00,208.92,152.19,-15.99,-22.35,101.65
2011,98,51507.55,0.00,321.34,152.19,-6.68,-19.75,118.32
2011,99,52002.30,0.00,290.44,152.19,-10.53,-20.55,119.02
2011,100,52498.12,0.00,204.47,152.19,-16.12,-21.99,104.92
2011,101,52995.06,0.00,256.98,152.19,-12.19,-19.89,126.07
2011,102,53493.20,0.00,296.91,152.19,-11.71,-21.14,113.08
2011,103,53992.60,0.00,300.84,152.19,-11.17,-20.66,116.31
2011,104,54493.34,0.00,332.68,152.19,-7.44,-18.82,120.51
2011,105,54995.49,0.00,359.90,152.19,-2.09,-16.46,123.40
2011,106,55499.13,0.00,349.26,152.19,-0.65,-13.32,154.06
2011,107,56004.33,0.00,204.74,152.19,-4.80,-10.28,273.43
2011,108,56511.18,0.00,328.45,152.19,-1.42,-11.77,181.20
2011,109,57019.77,0.00,82.74,152.19,-16.24,-18.10,147.04
2011,110,57530.17,0.00,283.30,152.19,-11.81,-19.44,129.46
2011,111,58042.48,0.00,269.48,152.19,-13.40,-20.44,120.16
2011,112,58556.81,0.00,340.51,152.19,-8.60,-18.79,117.63
2011,113,59073.25,0.00,355.68,152.19,-1.84,-13.16,150.86
2011,114,59591.91,0.00,318.38,152.19,-2.36,-11.56,184.96
2011,115,60112.91,0.00,366.98,152.19,0.98,-11.02,158.41
2011,116,60636.36,0.00,330.33,152.19,1.80,-7.89,211.73
2011,117,61162.41,2.84,162.37,155.02,-0.40,-6.00,376.48
2011,118,61691.18,0.00,307.79,155.02,0.89,-7.59,240.19
2011,119,62222.83,0.00,352.14,155.02,1.70,-8.56,196.49
2011,120,62757.52,2.33,233.17,157.36,2.37,-6.15,307.59
2011,121,63295.43,0.00,218.19,156.57,1.25,-4.14,381.57
2011,122,63836.74,0.00,172.49,156.43,-1.55,-5.65,390.39
2011,123,64381.67,0.00,205.94,156.43,-5.02,-9.80,279.30
2011,124,64930.45,0.00,334.36,156.43,-2.48,-11.10,187.18
2011,125,65483.33,0.00,360.47,156.43,-0.81,-10.47,177.14
2011,126,66040.59,0.00,347.60,156.43,-0.84,-9.87,189.37
2011,127,66602.54,0.00,406.76,156.43,-5.37,-17.87,102.65
2011,128,67169.55,0.00,399.03,156.43,-3.68,-15.44,118.98
2011,129,67742.00,0.00,316.32,156.43,-2.37,-10.12,202.51
2011,130,68320.34,0.00,257.33,156.43,-7.30,-13.22,193.21
2011,131,68905.09,0.00,413.72,156.43,-2.46,-15.15,98.25
2011,132,69496.83,0.00,283.46,156.43,-0.10,-6.80,236.72
2011,133,70096.25,0.00,327.39,156.43,1.38,-6.66,200.81
2011,134,70704.14,0.00,323.68,155.61,3.78,-4.06,226.09
2011,135,71321.43,0.00,245.06,154.17,2.84,-2.57,328.93
2011,136,71949.23,0.00,250.88,153.40,1.26,-4.15,296.64
2011,137,72588.87,0.00,360.24,152.37,5.31,-3.55,191.04
2011,138,73241.98,0.00,272.61,149.46,6.94,0.94,339.68
2011,139,73910.55,0.00,355.17,146.47,9.92,1.10,231.84
2011,140,74597.09,0.00,295.92,142.37,10.57,3.77,284.19
2011,141,75304.81,0.00,262.95,139.00,7.91,2.04,303.17
2011,142,76037.90,4.61,291.24,135.53,13.15,2.25,253.36
2011,143,76802.02,6.20,159.84,130.75,10.10,5.37,630.25
2011,144,77605.12,0.00,317.56,126.18,12.44,4.89,333.45
2011,145,78458.81,0.00,335.85,120.81,15.02,6.79,355.74
2011,146,79381.34,0.00,325.87,115.57,14.39,6.48,347.75
2011,147,80404.18,0.00,303.31,109.75,15.11,7.84,384.22
2011,148,81590.62,0.00,252.99,103.43,14.84,9.06,419.60
2011,149,83112.90,0.00,320.57,99.19,12.12,4.09,291.15
2011,150,86400.00,0.00,352.14,95.77,12.46,2.14,251.20
2011,151,86400.00,0.00,242.71,92.62,7.22,1.50,239.16
2011,152,86400.00,0.00,296.54,90.90,5.55,-1.92,183.32
2011,153,86400.00,0.00,343.38,89.09,8.01,-1.68,186.81
2011,154,86400.00,0.00,346.02,86.68,9.59,-0.28,208.47
2011,155,86400.00,0.00,279.02,82.83,10.08,3.18,271.71
2011,156,86400.00,0.00,182.69,78.12,9.33,5.22,316.73
2011,157,86400.00,0.00,238.44,73.41,10.65,5.20,316.39
2011,158,86400.00,0.00,248.15,68.56,11.16,5.56,324.78
2011,159,86400.00,0.00,360.38,67.26,7.03,-2.92,169.31
2011,160,86400.00,0.00,325.92,65.77,5.73,-2.44,175.81
2011,161,86400.00,0.00,310.39,63.03,7.98,0.52,221.76
2011,162,86400.00,0.00,253.27,60.15,6.47,0.86,227.67
2011,163,86400.00,0.00,158.60,58.32,1.58,-1.66,194.29
2011,164,86400.00,14.54,118.91,57.38,-0.56,-3.76,255.37
2011,165,86400.00,8.11,215.77,55.53,4.87,-1.59,234.43
2011,166,86400.00,0.00,131.82,52.47,3.94,1.28,530.17
2011,167,86400.00,0.00,257.12,49.02,7.68,2.20,289.06
2011,168,86400.00,0.00,280.53,44.52,10.89,4.73,305.48
2011,169,86400.00,0.00,194.95,40.13,8.42,4.44,451.90
2011,170,86400.00,0.00,305.58,35.54,11.85,4.93,309.98
2011,171,86400.00,0.00,309.32,30.35,13.51,6.36,344.55
2011,172,86400.00,3.83,101.05,24.65,10.30,7.58,869.57
2011,173,86400.00,5.14,165.70,18.37,13.63,8.94,697.62
2011,174,86400.00,7.66,157.03,12.20,13.13,8.71,780.47
2011,175,86400.00,10.89,164.35,6.31,12.66,8.02,796.55
2011,176,86400.00,0.00,336.54,0.64,16.01,7.49,447.46
2011,177,86400.00,0.00,251.37,0.00,17.60,11.20,757.84
2011,178,86400.00,0.00,180.49,0.00,12.54,8.34,850.76
2011,179,86400.00,0.00,304.29,0.00,12.82,4.25,413.98
2011,180,86400.00,0.00,133.26,0.00,0.79,-2.06,524.87
2011,181,86400.00,6.38,81.99,0.00,-0.04,-2.31,515.37
2011,182,86400.00,0.00,224.65,0.00,4.55,-0.54,466.45
2011,183,86400.00,0.00,333.92,0.00,12.27,1.20,339.12
2011,184,86400.00,0.00,275.35,0.00,11.17,4.21,507.79
2011,185,86400.00,6.13,82.36,0.00,5.26,2.96,755.18
2011,186,86400.00,0.00,270.52,0.00,9.46,2.70,494.51
2011,187,86400.00,0.00,308.83,0.00,14.42,5.26,485.85
2011,188,86400.00,0.00,224.95,0.00,13.79,8.35,777.88
2011,189,86400.00,0.00,274.67,0.00,13.12,5.89,573.97
2011,190,86400.00,0.00,260.89,0.00,12.52,5.88,602.75
2011,191,86400.00,0.00,256.83,0.00,12.74,6.22,622.13
2011,192,86400.00,7.68,78.24,0.00,7.41,5.15,880.97
2011,193,86400.00,6.55,109.09,0.00,8.77,5.49,902.12
2011,194,86400.00,0.00,83.29,0.00,7.23,5.47,900.80
2011,195,84214.35,5.80,70.90,0.00,6.83,4.87,864.19
2011,196,82294.92,10.68,65.89,0.00,7.00,5.23,886.20
2011,197,80975.77,11.26,105.13,0.00,6.57,3.69,795.18
2011,198,79881.86,0.00,286.39,0.00,8.87,1.80,612.15
2011,199,78913.97,4.71,184.20,0.00,9.15,3.51,785.60
2011,200,78028.43,0.00,292.10,0.00,10.36,3.02,669.55
2011,201,77201.59,0.00,215.38,0.00,9.46,4.81,859.61
2011,202,76418.99,0.00,224.86,0.00,10.08,5.13,865.72
2011,203,75671.07,0.00,229.20,0.00,10.22,5.15,863.61
2011,204,74951.16,0.00,210.33,0.00,12.51,7.88,1055.24
2011,205,74254.40,3.24,212.30,0.00,12.71,5.52,900.66
2011,206,73577.12,9.36,103.50,0.00,9.67,6.85,991.13
